accession,Estimated TE number
7158,16171.99749
7160,13114.91286
7162,12495.86991
7163,12979.80327
7165,14108.34297
7169,13317.02271
7177,12822.75214
7181,13489.06123
7183,12959.38584
7192,12250.22565
7199,12299.95078
7202,13085.11247
7203,12825.56746
7207,12079.81973
7208,9226.826197
7209,12320.60856
7217,13715.3687
7223,12160.58797
7231,16252.0918
7236,12252.43281
7244,12077.2735
7248,12834.99072
7255,12127.17083
7258,12709.93875
7268,11974.88514
7276,12221.28171
7287,10295.92688
7296,15997.49363
7298,11767.88084
7305,14488.1417
7306,11693.66
7314,12411.42387
7316,14242.03837
7319,11632.67734
7320,12634.22237
7323,13309.92727
7327,14425.52259
7333,11869.04974
7337,13489.72181
7342,12396.3977
7343,12017.5396
7344,10636.86383
7346,16392.73657
7347,13886.40698
7349,12171.80581
7350,12925.92017
7353,13709.58249
7354,13560.52302
7372,12181.18053
7378,11861.17682
7382,10716.27723
7383,12501.83109
7384,14153.85103
7387,13508.98081
7394,13772.0478
7404,13196.95962
7411,14081.4352
7416,13161.33392
7419,11634.85228
7424,11990.73586
7430,11971.91275
7460,13181.36607
7471,12147.5659
7477,15878.11905
7514,12846.36912
7516,12393.45153
7520,13697.45313
7521,14082.1086
7523,11692.59841
7525,14139.66812
763,12485.92796
765,11646.14777
766,13034.27702
768,13851.12233
7717,15972.87099
772,13800.1577
7917,16141.05425
7947,15655.72117
801,16174.75893
8077,16313.20756
8132,15981.67979
8214,13699.29609
8222,15036.72042
8227,15495.34808
8230,15067.6557
8231,8046.470655
8233,8638.120018
8235,11067.72997
8236,8064.859944
8238,14122.81646
8239,9158.680062
8240,13817.41766
8242,14010.70865
8243,14118.63604
8244,14182.49924
8246,14185.68304
8247,14153.6475
8249,10860.20451
8256,13317.14308
8258,14214.12781
8259,11533.67416
8283,15193.07048
8284,10925.83368
8285,11173.96269
8290,14491.53667
8297,14229.96649
8306,13492.1202
8307,15469.73151
8311,13434.63992
8326,14335.85833
8335,11369.73917
8337,12359.06584
8343,12186.92593
8351,14632.42118
8357,9783.487117
8365,14145.36587
8366,10259.06764
8369,13934.26126
8386,15700.50956
8419,14040.04635
8422,13846.87439
8424,13754.84331
8426,15541.96764
8427,15697.40815
870,16168.79845
88,15494.85521
9067,15017.67226
9069,14476.23018
9070,14438.97926
9075,14123.6175
9078,14665.20648
9079,14014.92409
9081,14882.27634
9084,14159.02949
9085,14165.52507
9089,14981.1402
9091,13074.53978
9095,15344.89906
9099,15170.61613
9100,14000.26453
9102,14942.88118
