id,latitude,longitude
6070,62.9308,18.3448
6071,62.9308,18.3448
6073,56.1481,15.8155
6074,56.4573,16.1308
6076,55.6942,13.4504
6085,55.7097,13.2145
6086,58.9,11.2
6088,56.4666,16.1284
6090,55.6525,13.2197
6092,55.6514,13.2233
6094,55.6494,13.2147
6097,55.6481,13.2264
6098,55.6561,13.2178
6099,55.6575,13.2386
6100,55.6,13.2
6102,55.6,13.2
6104,55.7,13.2
6105,55.7967,13.1211
6106,55.7931,13.1186
6107,55.7942,13.1222
6108,55.7989,13.1206
6109,55.7936,13.1233
6111,55.7989,13.1219
6112,55.7967,13.1044
6113,55.8078,13.1028
6114,55.8097,13.1342
6115,55.8,13.1367
6118,55.7,13.2
6122,55.8364,13.3075
6124,55.8378,13.3092
6125,55.8403,13.3106
6126,55.8411,13.3047
6127,55.8428,13.3058
6128,55.8397,13.2881
6129,55.8544,13.2875
6131,55.8369,13.3181
6132,55.8386,13.3186
6133,55.8364,13.2906
6134,55.8383,13.2906
6136,55.9336,13.5519
6137,55.9419,13.5603
6138,55.9403,13.5511
6140,55.9392,13.5539
6142,55.9428,13.5558
6145,55.9497,13.5533
6148,55.9319,13.5508
6149,55.9281,13.5481
6150,55.9261,13.5319
6151,55.6528,13.2244
6153,62.6425,17.7422
6154,62.6422,17.7406
6163,62.6425,17.7356
6166,62.6425,17.7372
6169,62.8714,18.3447
6171,62.8717,18.3444
6172,62.8717,18.3436
6173,62.8717,18.3419
6174,62.8719,18.3422
6177,62.6322,17.69
6180,62.6322,17.6906
6184,62.8892,18.4522
6188,55.7683,14.1386
6189,55.7686,14.1383
6191,55.7689,14.1375
6192,55.7692,14.1369
6193,55.7694,14.1347
6194,55.7706,14.1342
6195,55.7708,14.1342
6197,55.7714,14.1333
6198,55.7708,14.1331
6201,55.7719,14.1211
6202,55.7717,14.1206
6203,55.7714,14.1208
6209,62.8836,18.1842
6210,62.8839,18.1836
6216,63.0167,18.3283
6217,63.0169,18.3283
6218,63.0172,18.3283
6220,62.806,18.1896
6221,62.806,18.1896
6231,62.96,18.2844
6235,62.9611,18.3589
6237,62.9619,18.35
