id,name,country,latitude,longitude,FT10,FT16
7416,Yo-0,USA,37.45,-119.35,81.5,78.66666667
7417,Zu-0,SUI,47.3667,8.55,86.33333333,NA
7418,Zu-1,SUI,47.3667,8.55,63.5,46.25
7419,Db-1,GER,50.3058,8.32213,69,43.25
7424,Jl-3,CZE,49.2,16.6166,57.75,35.5
7427,Ko-2,DEN,NA,NA,101,91.5
7430,Nc-1,FRA,48.6167,6.25,72.5,42.25
7438,N13,RUS,61.36,34.15,77.75,65
7458,Ber,DEN,55.675,12.5687,79.5,52
7460,Da(1)-12,CZE,NA,NA,75,37
7461,H55,CZE,49,15,68,48.75
7471,RLD-1,UNK,NA,NA,56.25,34
7477,WAR,USA,41.7302,-71.2825,74,52.25
7514,RRS-7,USA,41.5609,-86.4251,80.25,57.33333333
7515,RRS-10,USA,41.5609,-86.4251,73.75,73.5
7516,V�r2-1,SWE,55.58,14.334,105,117
7517,V�r2-6,SWE,55.58,14.334,115,113.75
7518,�_M�_2-1,SWE,56.14,15.78,93.25,80.66666667
7519,�_M�_2-3,SWE,56.14,15.78,90.25,89.66666667
7520,Lp2-2,CZE,49.38,16.81,73.25,48.75
7521,Lp2-6,CZE,49.38,16.81,70.75,54
7522,Mr-0,ITA,44.15,9.65,93,79.25
7523,Pna-17,USA,42.0945,-86.3253,80,68.75
7524,Rmx-A02,USA,42.036,-86.511,61.25,40.75
7525,Rmx-A180,USA,42.036,-86.511,63,41.75
7526,Pna-10,USA,42.0945,-86.3253,75.5,71
7717,KNO1.37,USA,41.273,-86.625,82.75,76.25
7917,PNA3.10,USA,42.0945,-86.3253,82.25,68.75
7947,PNA3.40,USA,42.0945,-86.3253,82.25,81.5
8077,PT2.21,USA,41.3423,-86.7368,70,57.75
8132,RMX3.22,USA,42.036,-86.511,74,67.33333333
8213,Pro-0,ESP,43.25,-6,58.75,36
8214,Gy-0,FRA,49,2,65,54.5
8222,Lis-2,SWE,56.0328,14.775,100,93.25
8227,TH�_ 03,SWE,62.7989,17.9103,120,NA
8230,Algutsrum,SWE,56.68,16.5,110.3333333,103
