id,experiment,tray,long_edge,short_edge,mother,genotype,type,seq_plate,seq_row,seq_col
F2.2.043,F2s,3,10,2,F1.2.02,1158 x 6125,F2,,,
F2.1.043,F2s,3,10,3,F1.1.02,1158 x 6092,F2,,,
F2.1.044,F2s,3,10,4,F1.1.02,1158 x 6092,F2,,,
F2.7.042,F2s,3,10,5,F1.7.09,8231 x 1158,F2,2,D,11
F2.7.043,F2s,3,10,6,F1.7.09,8231 x 1158,F2,2,E,11
F2.1.045,F2s,3,11,1,F1.1.02,1158 x 6092,F2,,,
F2.2.044,F2s,3,11,2,F1.2.02,1158 x 6125,F2,,,
S2.7.03,F2s,3,11,3,S1.7.08,6125,selfed_parent,,,
F2.7.044,F2s,3,11,4,F1.7.09,8231 x 1158,F2,2,F,11
F2.2.045,F2s,3,11,5,F1.2.02,1158 x 6125,F2,,,
F2.7.045,F2s,3,11,6,F1.7.09,8231 x 1158,F2,2,E,12
F2.5.046,F2s,4,1,1,F1.5.05,6024 x 8231,F2,,,
F2.5.047,F2s,4,1,2,F1.5.05,6024 x 8231,F2,,,
F2.2.046,F2s,4,1,3,F1.2.02,1158 x 6125,F2,,,
F2.1.046,F2s,4,1,4,F1.1.02,1158 x 6092,F2,,,
F2.2.047,F2s,4,1,5,F1.2.02,1158 x 6125,F2,,,
F2.7.046,F2s,4,1,6,F1.7.09,8231 x 1158,F2,,,
F2.7.047,F2s,4,2,1,F1.7.09,8231 x 1158,F2,,,
F2.7.048,F2s,4,2,2,F1.7.09,8231 x 1158,F2,3,D,10
F2.1.047,F2s,4,2,3,F1.1.02,1158 x 6092,F2,,,
F2.5.048,F2s,4,2,4,F1.5.05,6024 x 8231,F2,,,
F2.1.048,F2s,4,2,5,F1.1.02,1158 x 6092,F2,,,
F2.2.048,F2s,4,2,6,F1.2.02,1158 x 6125,F2,,,
F2.2.049,F2s,4,3,1,F1.2.02,1158 x 6125,F2,,,
F2.7.049,F2s,4,3,2,F1.7.09,8231 x 1158,F2,3,E,10
F2.1.049,F2s,4,3,3,F1.1.02,1158 x 6092,F2,,,
F2.7.050,F2s,4,3,4,F1.7.09,8231 x 1158,F2,3,C,10
S2.10.04,F2s,4,3,5,S1.10.01,8231,selfed_parent,,,
S2.03.04,F2s,4,3,6,S1.03.01,6024,selfed_parent,,,
F2.5.049,F2s,4,4,1,F1.5.05,6024 x 8231,F2,,,
F2.2.050,F2s,4,4,2,F1.2.02,1158 x 6125,F2,,,
NA,F2s,4,4,3,NA,NA,blank,,,
F2.2.051,F2s,4,4,4,F1.2.02,1158 x 6125,F2,,,
S2.7.04,F2s,4,4,5,S1.7.08,6125,selfed_parent,,,
F2.2.052,F2s,4,4,6,F1.2.02,1158 x 6125,F2,,,
F2.2.053,F2s,4,5,1,F1.2.02,1158 x 6125,F2,,,
F2.2.054,F2s,4,5,2,F1.2.02,1158 x 6125,F2,,,
F2.2.055,F2s,4,5,3,F1.2.02,1158 x 6125,F2,,,
F2.1.050,F2s,4,5,4,F1.1.02,1158 x 6092,F2,,,
S2.5.04,F2s,4,5,5,S1.5.16,6092,selfed_parent,,,
F2.7.051,F2s,4,5,6,F1.7.09,8231 x 1158,F2,3,B,10
F2.5.050,F2s,4,6,1,F1.5.05,6024 x 8231,F2,,,
F2.7.052,F2s,4,6,2,F1.7.09,8231 x 1158,F2,3,A,10
F2.7.053,F2s,4,6,3,F1.7.09,8231 x 1158,F2,,,
F2.1.051,F2s,4,6,4,F1.1.02,1158 x 6092,F2,,,
F2.5.051,F2s,4,6,5,F1.5.05,6024 x 8231,F2,,,
F2.1.052,F2s,4,6,6,F1.1.02,1158 x 6092,F2,,,
S2.2.04,F2s,4,7,1,S1.2.09,1158,selfed_parent,,,
F2.5.052,F2s,4,7,2,F1.5.05,6024 x 8231,F2,,,
F2.1.053,F2s,4,7,3,F1.1.02,1158 x 6092,F2,,,
F2.5.053,F2s,4,7,4,F1.5.05,6024 x 8231,F2,,,
F2.7.054,F2s,4,7,5,F1.7.09,8231 x 1158,F2,3,H,9
F2.1.054,F2s,4,7,6,F1.1.02,1158 x 6092,F2,,,
F2.7.055,F2s,4,8,1,F1.7.09,8231 x 1158,F2,3,F,9
F2.5.054,F2s,4,8,2,F1.5.05,6024 x 8231,F2,,,
F2.5.055,F2s,4,8,3,F1.5.05,6024 x 8231,F2,,,
F2.2.056,F2s,4,8,4,F1.2.02,1158 x 6125,F2,,,
F2.7.056,F2s,4,8,5,F1.7.09,8231 x 1158,F2,,,
F2.5.056,F2s,4,8,6,F1.5.05,6024 x 8231,F2,,,
F2.1.055,F2s,4,9,1,F1.1.02,1158 x 6092,F2,,,
F2.7.057,F2s,4,9,2,F1.7.09,8231 x 1158,F2,,,
F2.7.058,F2s,4,9,3,F1.7.09,8231 x 1158,F2,3,E,9
F2.2.057,F2s,4,9,4,F1.2.02,1158 x 6125,F2,,,
F2.7.059,F2s,4,9,5,F1.7.09,8231 x 1158,F2,3,D,9
F2.5.057,F2s,4,9,6,F1.5.05,6024 x 8231,F2,,,
F2.1.056,F2s,4,10,1,F1.1.02,1158 x 6092,F2,,,
F2.1.057,F2s,4,10,2,F1.1.02,1158 x 6092,F2,,,
F2.1.058,F2s,4,10,3,F1.1.02,1158 x 6092,F2,,,
F2.2.058,F2s,4,10,4,F1.2.02,1158 x 6125,F2,,,
F2.1.059,F2s,4,10,5,F1.1.02,1158 x 6092,F2,3,C,9
F2.2.059,F2s,4,10,6,F1.2.02,1158 x 6125,F2,,,
F2.5.058,F2s,4,11,1,F1.5.05,6024 x 8231,F2,,,
F2.7.060,F2s,4,11,2,F1.7.09,8231 x 1158,F2,3,G,9
F2.2.060,F2s,4,11,3,F1.2.02,1158 x 6125,F2,,,
F2.5.059,F2s,4,11,4,F1.5.05,6024 x 8231,F2,,,
F2.1.060,F2s,4,11,5,F1.1.02,1158 x 6092,F2,,,
F2.5.060,F2s,4,11,6,F1.5.05,6024 x 8231,F2,,,
F2.5.061,F2s,5,1,1,F1.5.05,6024 x 8231,F2,,,
F2.5.062,F2s,5,1,2,F1.5.05,6024 x 8231,F2,,,
F2.1.061,F2s,5,1,3,F1.1.02,1158 x 6092,F2,,,
F2.1.062,F2s,5,1,4,F1.1.02,1158 x 6092,F2,,,
F2.1.063,F2s,5,1,5,F1.1.02,1158 x 6092,F2,,,
F2.2.061,F2s,5,1,6,F1.2.02,1158 x 6125,F2,,,
F2.7.061,F2s,5,2,1,F1.7.09,8231 x 1158,F2,,,
F2.5.063,F2s,5,2,2,F1.5.05,6024 x 8231,F2,,,
F2.5.064,F2s,5,2,3,F1.5.05,6024 x 8231,F2,,,
F2.7.062,F2s,5,2,4,F1.7.09,8231 x 1158,F2,,,
F2.5.065,F2s,5,2,5,F1.5.05,6024 x 8231,F2,,,
F2.7.063,F2s,5,2,6,F1.7.09,8231 x 1158,F2,,,
S2.03.05,F2s,5,3,1,S1.03.01,6024,selfed_parent,,,
F2.2.062,F2s,5,3,2,F1.2.02,1158 x 6125,F2,,,
F2.7.064,F2s,5,3,3,F1.7.09,8231 x 1158,F2,,,
F2.7.065,F2s,5,3,4,F1.7.09,8231 x 1158,F2,,,
F2.7.066,F2s,5,3,5,F1.7.09,8231 x 1158,F2,,,
F2.2.063,F2s,5,3,6,F1.2.02,1158 x 6125,F2,,,
F2.2.064,F2s,5,4,1,F1.2.02,1158 x 6125,F2,,,
F2.2.065,F2s,5,4,2,F1.2.02,1158 x 6125,F2,,,
F2.7.067,F2s,5,4,3,F1.7.09,8231 x 1158,F2,,,
F2.2.066,F2s,5,4,4,F1.2.02,1158 x 6125,F2,,,
F2.7.068,F2s,5,4,5,F1.7.09,8231 x 1158,F2,,,
F2.2.067,F2s,5,4,6,F1.2.02,1158 x 6125,F2,,,
F2.2.068,F2s,5,5,1,F1.2.02,1158 x 6125,F2,,,
F2.1.064,F2s,5,5,2,F1.1.02,1158 x 6092,F2,,,
F2.2.069,F2s,5,5,3,F1.2.02,1158 x 6125,F2,,,
F2.2.070,F2s,5,5,4,F1.2.02,1158 x 6125,F2,,,
F2.5.066,F2s,5,5,5,F1.5.05,6024 x 8231,F2,,,
F2.1.065,F2s,5,5,6,F1.1.02,1158 x 6092,F2,,,
S2.2.05,F2s,5,6,1,S1.2.09,1158,selfed_parent,,,
F2.1.066,F2s,5,6,2,F1.1.02,1158 x 6092,F2,,,
