experiment,tray,row,column,genotype,bag_received
1001G,2,5,7,6244,
1001G,2,6,8,6244,1
1001G,3,1,1,6244,
1001G,3,2,1,6244,
1001G,3,3,1,6244,1
1001G,3,4,6,6244,1
1001G,3,5,1,6244,1
1001G,3,6,6,6244,
1001G,4,1,11,6244,1
1001G,4,2,1,6244,
1001G,4,3,4,6244,1
1001G,4,4,10,6244,
1001G,4,5,9,6244,1
1001G,4,6,8,6244,
1001G,5,1,8,6244,1
1001G,5,2,2,6244,
1001G,5,3,1,6244,1
1001G,5,4,4,6244,1
1001G,5,5,5,6244,
1001G,5,6,3,6244,
1001G,6,1,1,6244,1
1001G,6,2,6,6244,1
1001G,6,3,1,6244,
1001G,6,4,2,6244,1
1001G,6,5,3,6244,1
1001G,6,6,5,6244,
1001G,7,1,6,6244,
1001G,7,2,2,6244,
1001G,7,3,2,6244,
1001G,7,4,2,6244,
1001G,7,5,11,6244,1
1001G,7,6,1,6244,1
1001G,8,1,5,6244,1
1001G,8,2,9,6244,1
1001G,8,3,5,6244,
1001G,8,4,9,6244,1
1001G,8,5,5,6244,1
1001G,8,6,3,6244,
1001G,9,1,9,6244,
1001G,9,2,1,6244,1
1001G,9,3,5,6244,
1001G,9,4,7,6244,1
1001G,9,5,6,6244,
1001G,9,6,2,6244,1
1001G,1,1,8,8231,
1001G,1,2,3,8231,
1001G,1,3,4,8231,
1001G,1,4,2,8231,
1001G,1,5,2,8231,
1001G,1,6,8,8231,
1001G,2,1,6,8231,1
1001G,2,2,7,8231,1
1001G,2,3,6,8231,
1001G,2,4,5,8231,
1001G,2,5,6,8231,
1001G,2,6,4,8231,
1001G,3,1,11,8231,1
1001G,3,2,5,8231,1
1001G,3,3,4,8231,
1001G,3,4,9,8231,1
1001G,3,5,7,8231,1
1001G,3,6,4,8231,
1001G,4,1,5,8231,1
1001G,4,2,6,8231,1
1001G,4,3,9,8231,
1001G,4,4,1,8231,1
1001G,4,5,11,8231,
1001G,4,6,7,8231,
1001G,5,1,1,8231,
1001G,5,2,5,8231,
1001G,5,3,11,8231,1
1001G,5,4,8,8231,1
1001G,5,5,6,8231,1
1001G,5,6,9,8231,
1001G,6,1,11,8231,1
1001G,6,2,3,8231,1
1001G,6,3,7,8231,1
1001G,6,4,5,8231,
1001G,6,5,11,8231,
1001G,6,6,11,8231,
1001G,7,1,7,8231,1
1001G,7,2,8,8231,1
1001G,7,3,4,8231,
1001G,7,4,8,8231,1
1001G,7,5,7,8231,
1001G,7,6,10,8231,1
1001G,8,1,2,8231,1
1001G,8,2,7,8231,1
1001G,8,3,11,8231,1
1001G,8,4,11,8231,
1001G,8,5,2,8231,1
1001G,8,6,11,8231,1
1001G,9,1,7,8231,1
1001G,9,2,5,8231,
1001G,9,3,4,8231,1
1001G,9,4,1,8231,
1001G,9,5,2,8231,1
1001G,9,6,8,8231,1
1001G,1,1,4,NA,
1001G,1,2,11,NA,
1001G,1,3,7,NA,
1001G,1,4,1,NA,
1001G,1,5,10,NA,
1001G,1,6,5,NA,
1001G,2,1,2,NA,
1001G,2,2,1,NA,
1001G,2,3,7,NA,
1001G,2,4,6,NA,
1001G,2,5,4,NA,
1001G,2,6,1,NA,
1001G,3,1,10,NA,
1001G,3,2,4,NA,
1001G,3,3,8,NA,
1001G,3,4,7,NA,
1001G,3,5,4,NA,
1001G,3,6,10,NA,
1001G,4,1,7,NA,
1001G,4,2,2,NA,
1001G,4,3,2,NA,
1001G,4,4,3,NA,
1001G,4,5,8,NA,
1001G,4,6,2,NA,
1001G,5,1,6,NA,
1001G,5,2,3,NA,
1001G,5,3,6,NA,
1001G,5,4,7,NA,
1001G,5,5,8,NA,
1001G,5,6,11,NA,
1001G,6,1,7,NA,
1001G,6,2,4,NA,
1001G,6,3,5,NA,
1001G,6,4,9,NA,
1001G,6,5,7,NA,
1001G,6,6,1,NA,
1001G,7,1,1,NA,
