id,experiment,tray,row,column,block,genotype,harvested_june2020
P1.10.49,1001G,9,1,7,49,8231,1
P1.6.49,1001G,9,1,8,49,6125,
P1.9.49,1001G,9,1,9,49,6244,
P1.3.49,1001G,9,1,10,49,6024,
P1.8.49,1001G,9,1,11,49,6237,
P1.9.50,1001G,9,2,1,50,6244,1
P1.6.50,1001G,9,2,2,50,6125,1
,1001G,9,2,3,50,NA,
P1.1.50,1001G,9,2,4,50,1158,1
P1.10.50,1001G,9,2,5,50,8231,
P1.7.50,1001G,9,2,6,50,6184,1
P1.3.50,1001G,9,2,7,50,6024,1
P1.5.50,1001G,9,2,8,50,6092,1
P1.4.50,1001G,9,2,9,50,6046,
P1.2.50,1001G,9,2,10,50,6017,1
P1.8.50,1001G,9,2,11,50,6237,1
P1.8.51,1001G,9,3,1,51,6237,
P1.2.51,1001G,9,3,2,51,6017,1
P1.5.51,1001G,9,3,3,51,6092,1
P1.10.51,1001G,9,3,4,51,8231,1
P1.9.51,1001G,9,3,5,51,6244,
P1.4.51,1001G,9,3,6,51,6046,
P1.3.51,1001G,9,3,7,51,6024,1
,1001G,9,3,8,51,NA,
P1.7.51,1001G,9,3,9,51,6184,1
P1.1.51,1001G,9,3,10,51,1158,1
P1.6.51,1001G,9,3,11,51,6125,
P1.10.52,1001G,9,4,1,52,8231,
P1.4.52,1001G,9,4,2,52,6046,1
P1.3.52,1001G,9,4,3,52,6024,
P1.8.52,1001G,9,4,4,52,6237,1
P1.7.52,1001G,9,4,5,52,6184,1
P1.5.52,1001G,9,4,6,52,6092,
P1.9.52,1001G,9,4,7,52,6244,1
P1.2.52,1001G,9,4,8,52,6017,1
P1.1.52,1001G,9,4,9,52,1158,1
,1001G,9,4,10,52,NA,
P1.6.52,1001G,9,4,11,52,6125,1
P1.2.53,1001G,9,5,1,53,6017,1
P1.10.53,1001G,9,5,2,53,8231,1
P1.8.53,1001G,9,5,3,53,6237,1
,1001G,9,5,4,53,NA,
P1.7.53,1001G,9,5,5,53,6184,
P1.9.53,1001G,9,5,6,53,6244,
P1.3.53,1001G,9,5,7,53,6024,
P1.4.53,1001G,9,5,8,53,6046,1
P1.1.53,1001G,9,5,9,53,1158,1
P1.6.53,1001G,9,5,10,53,6125,1
P1.5.53,1001G,9,5,11,53,6092,
P1.8.54,1001G,9,6,1,54,6237,1
P1.9.54,1001G,9,6,2,54,6244,1
P1.6.54,1001G,9,6,3,54,6125,
P1.1.54,1001G,9,6,4,54,1158,1
P1.4.54,1001G,9,6,5,54,6046,
P1.3.54,1001G,9,6,6,54,6024,
,1001G,9,6,7,54,NA,
P1.10.54,1001G,9,6,8,54,8231,1
P1.7.54,1001G,9,6,9,54,6184,1
P1.2.54,1001G,9,6,10,54,6017,1
P1.5.54,1001G,9,6,11,54,6092,
S1.9.01,crosses,10,1,1,55,8231a,
,crosses,10,1,2,55,NA,
,crosses,10,1,3,55,NA,
F1.5.01,crosses,10,1,4,55,6024 x 8231,1
S1.2.01,crosses,10,1,5,55,1158b,1
S1.7.01,crosses,10,1,6,55,6125a,
F1.8.01,crosses,10,1,7,55,8231 x 1158,1
F1.4.01,crosses,10,1,8,55,6024 x 6092,1
F1.6.01,crosses,10,1,9,55,6125 x 1158,
S1.4.01,crosses,10,1,10,55,6024a,1
,crosses,10,1,11,55,NA,
