experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,23,2,6,2017_stock,1158,pure_lines
pure_lines,23,3,1,,1158,pure_lines
pure_lines,23,3,2,2017_stock,6092,pure_lines
pure_lines,23,3,3,,6046,pure_lines
pure_lines,23,3,4,,6244,pure_lines
pure_lines,23,3,5,Lovvik-2,Lovvik-2,pure_lines
pure_lines,23,3,6,2017_stock,6092,pure_lines
pure_lines,23,4,1,2017_stock,6244,pure_lines
pure_lines,23,4,2,2017_stock,6046,pure_lines
pure_lines,23,4,3,,6092,pure_lines
pure_lines,23,4,4,,6184,pure_lines
pure_lines,23,4,5,,6017,pure_lines
pure_lines,23,4,6,,6184,pure_lines
pure_lines,23,5,1,,6024,pure_lines
pure_lines,23,5,2,,6092,pure_lines
pure_lines,23,5,3,2017_stock,6017,pure_lines
pure_lines,23,5,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,23,5,5,,6125,pure_lines
pure_lines,23,5,6,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,23,6,1,2017_stock,6125,pure_lines
pure_lines,23,6,2,Lovvik-2,Lovvik-2,pure_lines
pure_lines,23,6,3,2017_stock,6017,pure_lines
pure_lines,23,6,4,2017_stock,6092,pure_lines
pure_lines,23,6,5,2017_stock,6024,pure_lines
pure_lines,23,6,6,2017_stock,6092,pure_lines
pure_lines,23,7,1,2017_stock,6125,pure_lines
pure_lines,23,7,2,Hossjo-1,Hossjo-1,pure_lines
pure_lines,23,7,3,2017_stock,1158,pure_lines
pure_lines,23,7,4,,1158,pure_lines
pure_lines,23,7,5,,8231,pure_lines
pure_lines,23,7,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,23,8,1,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,23,8,2,,6092,pure_lines
pure_lines,23,8,3,,6092,pure_lines
pure_lines,23,8,4,,6017,pure_lines
pure_lines,23,8,5,2017_stock,6125,pure_lines
pure_lines,23,8,6,2017_stock,1158,pure_lines
pure_lines,23,9,1,2017_stock,6184,pure_lines
pure_lines,23,9,2,,6024,pure_lines
pure_lines,23,9,3,2017_stock,8231,pure_lines
pure_lines,23,9,4,,1158,pure_lines
pure_lines,23,9,5,Lovvik-3,Lovvik-3,pure_lines
pure_lines,23,9,6,2017_stock,8231,pure_lines
pure_lines,23,10,1,,6046,pure_lines
pure_lines,23,10,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,23,10,3,,6184,pure_lines
pure_lines,23,10,4,,6184,pure_lines
pure_lines,23,10,5,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,23,10,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,23,11,1,2017_stock,1158,pure_lines
pure_lines,23,11,2,2017_stock,6046,pure_lines
pure_lines,23,11,3,,6092,pure_lines
pure_lines,23,11,4,2017_stock,6184,pure_lines
