experiment,tray,long_edge,short_edge,mother,genotype,type
F2s,3,10,5,F1.7.09,8231 x 1158,F2
F2s,3,11,6,F1.7.09,8231 x 1158,F2
F2s,4,1,1,F1.5.05,6024 x 8231,F2
F2s,4,2,2,F1.7.09,8231 x 1158,F2
F2s,4,3,3,F1.1.02,1158 x 6092,F2
F2s,4,4,4,F1.2.02,1158 x 6125,F2
F2s,4,5,5,S1.5.16,6092,selfed_parent
F2s,4,6,6,F1.1.02,1158 x 6092,F2
F2s,4,7,1,S1.2.09,1158,selfed_parent
F2s,4,8,2,F1.5.05,6024 x 8231,F2
F2s,4,9,3,F1.7.09,8231 x 1158,F2
F2s,4,10,4,F1.2.02,1158 x 6125,F2
F2s,4,11,5,F1.1.02,1158 x 6092,F2
F2s,4,1,6,F1.7.09,8231 x 1158,F2
F2s,4,2,1,F1.7.09,8231 x 1158,F2
F2s,4,3,2,F1.7.09,8231 x 1158,F2
F2s,4,4,3,NA,NA,blank
F2s,4,5,4,F1.1.02,1158 x 6092,F2
F2s,4,6,5,F1.5.05,6024 x 8231,F2
F2s,4,7,6,F1.1.02,1158 x 6092,F2
F2s,4,8,1,F1.7.09,8231 x 1158,F2
F2s,4,9,2,F1.7.09,8231 x 1158,F2
F2s,4,10,3,F1.1.02,1158 x 6092,F2
F2s,4,11,4,F1.5.05,6024 x 8231,F2
F2s,4,1,5,F1.2.02,1158 x 6125,F2
F2s,4,2,6,F1.2.02,1158 x 6125,F2
F2s,4,3,1,F1.2.02,1158 x 6125,F2
F2s,4,4,2,F1.2.02,1158 x 6125,F2
F2s,4,5,3,F1.2.02,1158 x 6125,F2
F2s,4,6,4,F1.1.02,1158 x 6092,F2
F2s,4,7,5,F1.7.09,8231 x 1158,F2
F2s,4,8,6,F1.5.05,6024 x 8231,F2
F2s,4,9,1,F1.1.02,1158 x 6092,F2
F2s,4,10,2,F1.1.02,1158 x 6092,F2
F2s,4,11,3,F1.2.02,1158 x 6125,F2
F2s,4,1,4,F1.1.02,1158 x 6092,F2
F2s,4,2,5,F1.1.02,1158 x 6092,F2
F2s,4,3,6,S1.03.01,6024,selfed_parent
F2s,4,4,1,F1.5.05,6024 x 8231,F2
F2s,4,5,2,F1.2.02,1158 x 6125,F2
F2s,4,6,3,F1.7.09,8231 x 1158,F2
F2s,4,7,4,F1.5.05,6024 x 8231,F2
F2s,4,8,5,F1.7.09,8231 x 1158,F2
F2s,4,9,6,F1.5.05,6024 x 8231,F2
F2s,4,10,1,F1.1.02,1158 x 6092,F2
F2s,4,11,2,F1.7.09,8231 x 1158,F2
F2s,4,1,3,F1.2.02,1158 x 6125,F2
F2s,4,2,4,F1.5.05,6024 x 8231,F2
F2s,4,3,5,S1.10.01,8231,selfed_parent
F2s,4,4,6,F1.2.02,1158 x 6125,F2
F2s,4,5,1,F1.2.02,1158 x 6125,F2
F2s,4,6,2,F1.7.09,8231 x 1158,F2
F2s,4,7,3,F1.1.02,1158 x 6092,F2
F2s,4,8,4,F1.2.02,1158 x 6125,F2
F2s,4,9,5,F1.7.09,8231 x 1158,F2
F2s,4,10,6,F1.2.02,1158 x 6125,F2
F2s,4,11,1,F1.5.05,6024 x 8231,F2
F2s,4,1,2,F1.5.05,6024 x 8231,F2
F2s,4,2,3,F1.1.02,1158 x 6092,F2
F2s,4,3,4,F1.7.09,8231 x 1158,F2
F2s,4,4,5,S1.7.08,6125,selfed_parent
F2s,4,5,6,F1.7.09,8231 x 1158,F2
F2s,4,6,1,F1.5.05,6024 x 8231,F2
F2s,4,7,2,F1.5.05,6024 x 8231,F2
F2s,4,8,3,F1.5.05,6024 x 8231,F2
F2s,4,9,4,F1.2.02,1158 x 6125,F2
F2s,4,10,5,F1.1.02,1158 x 6092,F2
F2s,4,11,6,F1.5.05,6024 x 8231,F2
F2s,5,1,1,F1.5.05,6024 x 8231,F2
F2s,5,2,2,F1.5.05,6024 x 8231,F2
F2s,5,3,3,F1.7.09,8231 x 1158,F2
F2s,5,4,4,F1.2.02,1158 x 6125,F2
F2s,5,5,5,F1.5.05,6024 x 8231,F2
F2s,5,6,6,F1.1.02,1158 x 6092,F2
F2s,5,7,1,F1.5.05,6024 x 8231,F2
F2s,5,8,2,F1.2.02,1158 x 6125,F2
F2s,5,9,3,F1.5.05,6024 x 8231,F2
F2s,5,10,4,F1.5.05,6024 x 8231,F2
F2s,5,11,5,F1.1.02,1158 x 6092,F2
F2s,5,1,6,F1.2.02,1158 x 6125,F2
F2s,5,2,1,F1.7.09,8231 x 1158,F2
F2s,5,3,2,F1.2.02,1158 x 6125,F2
F2s,5,4,3,F1.7.09,8231 x 1158,F2
F2s,5,5,4,F1.2.02,1158 x 6125,F2
F2s,5,6,5,F1.7.09,8231 x 1158,F2
F2s,5,7,6,F1.7.09,8231 x 1158,F2
F2s,5,8,1,F1.7.09,8231 x 1158,F2
F2s,5,9,2,F1.1.02,1158 x 6092,F2
F2s,5,10,3,F1.7.09,8231 x 1158,F2
F2s,5,11,4,S1.10.01,8231,selfed_parent
F2s,5,1,5,F1.1.02,1158 x 6092,F2
F2s,5,2,6,F1.7.09,8231 x 1158,F2
F2s,5,3,1,S1.03.01,6024,selfed_parent
F2s,5,4,2,F1.2.02,1158 x 6125,F2
F2s,5,5,3,F1.2.02,1158 x 6125,F2
F2s,5,6,4,S1.5.16,6092,selfed_parent
F2s,5,7,5,F1.1.02,1158 x 6092,F2
F2s,5,8,6,F1.1.02,1158 x 6092,F2
F2s,5,9,1,F1.5.05,6024 x 8231,F2
F2s,5,10,2,F1.5.05,6024 x 8231,F2
F2s,5,11,3,S1.7.08,6125,selfed_parent
F2s,5,1,4,F1.1.02,1158 x 6092,F2
F2s,5,2,5,F1.5.05,6024 x 8231,F2
F2s,5,3,6,F1.2.02,1158 x 6125,F2
F2s,5,4,1,F1.2.02,1158 x 6125,F2
F2s,5,5,2,F1.1.02,1158 x 6092,F2
F2s,5,6,3,F1.2.02,1158 x 6125,F2
F2s,5,7,4,F1.5.05,6024 x 8231,F2
F2s,5,8,5,F1.1.02,1158 x 6092,F2
F2s,5,9,6,F1.7.09,8231 x 1158,F2
F2s,5,10,1,F1.5.05,6024 x 8231,F2
F2s,5,11,2,NA,NA,blank
F2s,5,1,3,F1.1.02,1158 x 6092,F2
F2s,5,2,4,F1.7.09,8231 x 1158,F2
F2s,5,3,5,F1.7.09,8231 x 1158,F2
F2s,5,4,6,F1.2.02,1158 x 6125,F2
F2s,5,5,1,F1.2.02,1158 x 6125,F2
F2s,5,6,2,F1.1.02,1158 x 6092,F2
F2s,5,7,3,F1.2.02,1158 x 6125,F2
F2s,5,8,4,F1.1.02,1158 x 6092,F2
F2s,5,9,5,F1.1.02,1158 x 6092,F2
F2s,5,10,6,F1.5.05,6024 x 8231,F2
F2s,5,11,1,F1.5.05,6024 x 8231,F2
F2s,5,1,2,F1.5.05,6024 x 8231,F2
F2s,5,2,3,F1.5.05,6024 x 8231,F2
F2s,5,3,4,F1.7.09,8231 x 1158,F2
F2s,5,4,5,F1.7.09,8231 x 1158,F2
F2s,5,5,6,F1.1.02,1158 x 6092,F2
F2s,5,6,1,S1.2.09,1158,selfed_parent
F2s,5,7,2,F1.7.09,8231 x 1158,F2
F2s,5,8,3,F1.7.09,8231 x 1158,F2
F2s,5,9,4,F1.1.02,1158 x 6092,F2
F2s,5,10,5,F1.2.02,1158 x 6125,F2
F2s,5,11,6,F1.2.02,1158 x 6125,F2
F2s,6,1,1,F1.5.05,6024 x 8231,F2
F2s,6,2,2,F1.5.05,6024 x 8231,F2
F2s,6,3,3,F1.5.05,6024 x 8231,F2
F2s,6,4,4,F1.7.09,8231 x 1158,F2
F2s,6,5,5,F1.2.02,1158 x 6125,F2
F2s,6,6,6,F1.7.09,8231 x 1158,F2
F2s,6,7,1,F1.5.05,6024 x 8231,F2
F2s,6,8,2,F1.1.02,1158 x 6092,F2
F2s,6,9,3,F1.2.02,1158 x 6125,F2
F2s,6,10,4,F1.2.02,1158 x 6125,F2
F2s,6,11,5,F1.2.02,1158 x 6125,F2
F2s,6,1,6,F1.2.02,1158 x 6125,F2
F2s,6,2,1,F1.1.02,1158 x 6092,F2
F2s,6,3,2,F1.1.02,1158 x 6092,F2
F2s,6,4,3,F1.7.09,8231 x 1158,F2
F2s,6,5,4,F1.1.02,1158 x 6092,F2
F2s,6,6,5,F1.7.09,8231 x 1158,F2
F2s,6,7,6,F1.1.02,1158 x 6092,F2
F2s,6,8,1,F1.7.09,8231 x 1158,F2
F2s,6,9,2,F1.5.05,6024 x 8231,F2
F2s,6,10,3,F1.1.02,1158 x 6092,F2
F2s,6,11,4,F1.2.02,1158 x 6125,F2
F2s,6,1,5,S1.7.08,6125,selfed_parent
F2s,6,2,6,F1.1.02,1158 x 6092,F2
F2s,6,3,1,F1.2.02,1158 x 6125,F2
F2s,6,4,2,S1.03.01,6024,selfed_parent
F2s,6,5,3,F1.7.09,8231 x 1158,F2
F2s,6,6,4,F1.1.02,1158 x 6092,F2
F2s,6,7,5,S1.5.16,6092,selfed_parent
F2s,6,8,6,F1.7.09,8231 x 1158,F2
F2s,6,9,1,F1.7.09,8231 x 1158,F2
F2s,6,10,2,F1.1.02,1158 x 6092,F2
F2s,6,11,3,F1.2.02,1158 x 6125,F2
F2s,6,1,4,F1.1.02,1158 x 6092,F2
F2s,6,2,5,F1.1.02,1158 x 6092,F2
F2s,6,3,6,F1.5.05,6024 x 8231,F2
F2s,6,4,1,F1.5.05,6024 x 8231,F2
F2s,6,5,2,F1.2.02,1158 x 6125,F2
F2s,6,6,3,F1.2.02,1158 x 6125,F2
F2s,6,7,4,F1.5.05,6024 x 8231,F2
F2s,6,8,5,F1.7.09,8231 x 1158,F2
F2s,6,9,6,S1.2.09,1158,selfed_parent
F2s,6,10,1,F1.1.02,1158 x 6092,F2
F2s,6,11,2,F1.5.05,6024 x 8231,F2
F2s,6,1,3,F1.2.02,1158 x 6125,F2
F2s,6,2,4,F1.2.02,1158 x 6125,F2
F2s,6,3,5,F1.5.05,6024 x 8231,F2
F2s,6,4,6,F1.5.05,6024 x 8231,F2
F2s,6,5,1,F1.5.05,6024 x 8231,F2
F2s,6,6,2,F1.2.02,1158 x 6125,F2
F2s,6,7,3,F1.2.02,1158 x 6125,F2
F2s,6,8,4,F1.1.02,1158 x 6092,F2
F2s,6,9,5,F1.2.02,1158 x 6125,F2
F2s,6,10,6,F1.1.02,1158 x 6092,F2
F2s,6,11,1,F1.7.09,8231 x 1158,F2
F2s,6,1,2,F1.7.09,8231 x 1158,F2
F2s,6,2,3,F1.5.05,6024 x 8231,F2
F2s,6,3,4,F1.7.09,8231 x 1158,F2
F2s,6,4,5,F1.7.09,8231 x 1158,F2
F2s,6,5,6,F1.7.09,8231 x 1158,F2
F2s,6,6,1,F1.5.05,6024 x 8231,F2
F2s,6,7,2,F1.1.02,1158 x 6092,F2
F2s,6,8,3,F1.7.09,8231 x 1158,F2
F2s,6,9,4,NA,NA,blank
F2s,6,10,5,F1.5.05,6024 x 8231,F2
F2s,6,11,6,S1.10.01,8231,selfed_parent
F2s,7,1,1,S1.7.08,6125,selfed_parent
F2s,7,2,2,F1.1.02,1158 x 6092,F2
F2s,7,3,3,S1.2.09,1158,selfed_parent
F2s,7,4,4,F1.2.02,1158 x 6125,F2
F2s,7,5,5,F1.1.02,1158 x 6092,F2
F2s,7,6,6,F1.5.05,6024 x 8231,F2
F2s,7,7,1,F1.1.02,1158 x 6092,F2
F2s,7,8,2,F1.7.09,8231 x 1158,F2
F2s,7,9,3,F1.2.02,1158 x 6125,F2
F2s,7,10,4,F1.7.09,8231 x 1158,F2
F2s,7,11,5,F1.7.09,8231 x 1158,F2
F2s,7,1,6,F1.5.05,6024 x 8231,F2
F2s,7,2,1,F1.2.02,1158 x 6125,F2
F2s,7,3,2,F1.2.02,1158 x 6125,F2
F2s,7,4,3,F1.1.02,1158 x 6092,F2
F2s,7,5,4,F1.7.09,8231 x 1158,F2
F2s,7,6,5,F1.5.05,6024 x 8231,F2
F2s,7,7,6,F1.2.02,1158 x 6125,F2
F2s,7,8,1,F1.2.02,1158 x 6125,F2
F2s,7,9,2,F1.2.02,1158 x 6125,F2
F2s,7,10,3,F1.2.02,1158 x 6125,F2
F2s,7,11,4,F1.5.05,6024 x 8231,F2
F2s,7,1,5,F1.1.02,1158 x 6092,F2
F2s,7,2,6,F1.5.05,6024 x 8231,F2
F2s,7,3,1,F1.2.02,1158 x 6125,F2
F2s,7,4,2,F1.2.02,1158 x 6125,F2
F2s,7,5,3,F1.1.02,1158 x 6092,F2
F2s,7,6,4,F1.5.05,6024 x 8231,F2
F2s,7,7,5,F1.2.02,1158 x 6125,F2
F2s,7,8,6,F1.7.09,8231 x 1158,F2
F2s,7,9,1,F1.1.02,1158 x 6092,F2
F2s,7,10,2,F1.1.02,1158 x 6092,F2
F2s,7,11,3,F1.5.05,6024 x 8231,F2
F2s,7,1,4,F1.5.05,6024 x 8231,F2
F2s,7,2,5,F1.2.02,1158 x 6125,F2
F2s,7,3,6,F1.7.09,8231 x 1158,F2
F2s,7,4,1,S1.10.01,8231,selfed_parent
F2s,7,5,2,F1.1.02,1158 x 6092,F2
F2s,7,6,3,S1.5.16,6092,selfed_parent
F2s,7,7,4,F1.2.02,1158 x 6125,F2
F2s,7,8,5,F1.5.05,6024 x 8231,F2
F2s,7,9,6,F1.7.09,8231 x 1158,F2
F2s,7,10,1,F1.5.05,6024 x 8231,F2
F2s,7,11,2,F1.7.09,8231 x 1158,F2
F2s,7,1,3,F1.7.09,8231 x 1158,F2
F2s,7,2,4,F1.7.09,8231 x 1158,F2
F2s,7,3,5,F1.1.02,1158 x 6092,F2
F2s,7,4,6,F1.2.02,1158 x 6125,F2
F2s,7,5,1,F1.1.02,1158 x 6092,F2
F2s,7,6,2,F1.2.02,1158 x 6125,F2
F2s,7,7,3,S1.03.01,6024,selfed_parent
F2s,7,8,4,F1.5.05,6024 x 8231,F2
F2s,7,9,5,F1.5.05,6024 x 8231,F2
F2s,7,10,6,F1.1.02,1158 x 6092,F2
F2s,7,11,1,F1.5.05,6024 x 8231,F2
F2s,7,1,2,F1.1.02,1158 x 6092,F2
F2s,7,2,3,F1.5.05,6024 x 8231,F2
F2s,7,3,4,F1.1.02,1158 x 6092,F2
F2s,7,4,5,F1.7.09,8231 x 1158,F2
F2s,7,5,6,F1.7.09,8231 x 1158,F2
F2s,7,6,1,F1.7.09,8231 x 1158,F2
F2s,7,7,2,F1.1.02,1158 x 6092,F2
F2s,7,8,3,F1.7.09,8231 x 1158,F2
F2s,7,9,4,NA,NA,blank
F2s,7,10,5,F1.5.05,6024 x 8231,F2
F2s,7,11,6,F1.7.09,8231 x 1158,F2
F2s,8,1,1,F1.7.09,8231 x 1158,F2
F2s,8,2,2,S1.03.01,6024,selfed_parent
F2s,8,3,3,S1.5.16,6092,selfed_parent
F2s,8,4,4,S1.2.09,1158,selfed_parent
F2s,8,5,5,F1.2.02,1158 x 6125,F2
F2s,8,6,6,NA,NA,blank
F2s,8,7,1,F1.2.02,1158 x 6125,F2
F2s,8,8,2,F1.7.09,8231 x 1158,F2
F2s,8,9,3,F1.7.09,8231 x 1158,F2
F2s,8,10,4,F1.1.02,1158 x 6092,F2
F2s,8,11,5,F1.5.05,6024 x 8231,F2
F2s,8,1,6,F1.2.02,1158 x 6125,F2
F2s,8,2,1,F1.2.02,1158 x 6125,F2
F2s,8,3,2,F1.7.09,8231 x 1158,F2
F2s,8,4,3,F1.7.09,8231 x 1158,F2
F2s,8,5,4,F1.2.02,1158 x 6125,F2
F2s,8,6,5,F1.5.05,6024 x 8231,F2
F2s,8,7,6,F1.1.02,1158 x 6092,F2
F2s,8,8,1,F1.2.02,1158 x 6125,F2
F2s,8,9,2,F1.1.02,1158 x 6092,F2
F2s,8,10,3,F1.1.02,1158 x 6092,F2
F2s,8,11,4,F1.5.05,6024 x 8231,F2
F2s,8,1,5,F1.1.02,1158 x 6092,F2
F2s,8,2,6,F1.5.05,6024 x 8231,F2
F2s,8,3,1,F1.5.05,6024 x 8231,F2
F2s,8,4,2,F1.5.05,6024 x 8231,F2
F2s,8,5,3,F1.1.02,1158 x 6092,F2
F2s,8,6,4,F1.7.09,8231 x 1158,F2
F2s,8,7,5,F1.1.02,1158 x 6092,F2
F2s,8,8,6,F1.5.05,6024 x 8231,F2
F2s,8,9,1,F1.2.02,1158 x 6125,F2
F2s,8,10,2,F1.7.09,8231 x 1158,F2
F2s,8,11,3,F1.2.02,1158 x 6125,F2
F2s,8,1,4,F1.1.02,1158 x 6092,F2
F2s,8,2,5,F1.5.05,6024 x 8231,F2
F2s,8,3,6,F1.5.05,6024 x 8231,F2
F2s,8,4,1,F1.2.02,1158 x 6125,F2
F2s,8,5,2,F1.7.09,8231 x 1158,F2
F2s,8,6,3,F1.2.02,1158 x 6125,F2
