id,mother,father,genotype,generation,site,Sown
P1.3.36,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.37,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.38,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.39,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.40,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.41,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.42,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.43,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.44,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.45,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.46,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.47,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.48,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.49,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.50,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.51,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.52,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.53,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.3.54,2017_stock,2017_stock,6024,S1,Saltea,August_2019
P1.4.01,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.02,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.03,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.04,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.05,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.06,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.07,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.08,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.09,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.10,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.11,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.12,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.13,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.14,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.15,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.16,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.17,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.18,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.19,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.20,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.21,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.22,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.23,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.24,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.25,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.26,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.27,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.28,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.29,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.30,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.31,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.32,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.33,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.34,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.35,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.36,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.37,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.38,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.39,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.40,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.41,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.42,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.43,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.44,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.45,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.46,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.47,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.48,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.49,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.50,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.51,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.52,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.53,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.4.54,2017_stock,2017_stock,6046,S1,Saltea,August_2019
P1.5.01,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.02,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.03,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.04,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.05,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.06,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.07,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.08,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.09,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.10,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.11,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.12,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.13,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.14,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.15,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.16,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.17,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.18,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.19,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.20,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.21,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.22,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.23,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.24,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.25,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.26,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.27,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.28,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.29,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.30,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.31,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.32,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.33,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.34,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.35,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.36,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.37,2017_stock,2017_stock,6092,S1,Saltea,August_2019
